designer,show,look_number,image_url,style_tags,items_json
Chanel,Fall 2026 Ready-to-Wear,1,"https://assets.vogue.com/photos/69af3926998fe393f6ecb9a1/master/w_1024,c_limit/00001-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Power Dressing,Quiet Luxury,New Classic","[{""category"": ""Jacket/Blazer"", ""materials"": [""Ribbed Knit""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted"", ""Cropped""], ""construction"": [""Statement Closure"", ""Shirt Collar""], ""decoration"": [""Statement Buttons""]}, {""category"": ""Skirt"", ""materials"": [""Ribbed Knit""], ""pattern"": ""Solid"", ""silhouette"": [""Straight"", ""High Rise""], ""construction"": [], ""decoration"": []}, {""category"": ""Shoes/Boots"", ""materials"": [""Suede"", ""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Bag"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,2,"https://assets.vogue.com/photos/69af3926c825c93326dbdb63/master/w_1024,c_limit/00002-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,New Classic,Soft Tailoring","[{""category"": ""Coat"", ""materials"": [""Ribbed Knit""], ""pattern"": ""Solid"", ""silhouette"": [""Oversized"", ""Straight""], ""construction"": [""Shirt Collar"", ""Statement Closure""], ""decoration"": [""Statement Buttons""]}, {""category"": ""Skirt"", ""materials"": [""Ribbed Knit""], ""pattern"": ""Solid"", ""silhouette"": [""Straight"", ""High Rise""], ""construction"": [], ""decoration"": []}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Bag"", ""materials"": [""Suede""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Metallic Fabric""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,3,"https://assets.vogue.com/photos/69af3926ab6ec72daad8944f/master/w_1024,c_limit/00003-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,New Classic,Power Dressing","[{""category"": ""Jacket/Blazer"", ""materials"": [""Denim"", ""Suiting Fabric""], ""pattern"": ""Checks/Plaid"", ""silhouette"": [""Fitted/Waisted"", ""Straight""], ""construction"": [""Patch Pockets"", ""Statement Closure"", ""Shirt Collar""], ""decoration"": [""Sequins"", ""Statement Buttons"", ""Contrast Stitching""]}, {""category"": ""Skirt"", ""materials"": [""Denim""], ""pattern"": ""Checks/Plaid"", ""silhouette"": [""Straight"", ""High Rise""], ""construction"": [""Patch Pockets""], ""decoration"": [""Sequins""]}, {""category"": ""Shirt"", ""materials"": [""Satin""], ""pattern"": ""Solid"", ""silhouette"": [""Straight""], ""construction"": [""Shirt Collar""], ""decoration"": []}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Bag"", ""materials"": [""Leather/Faux Leather"", ""Metallic Fabric""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Metal Hardware""]}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,4,"https://assets.vogue.com/photos/69af392823c91e7cf4df3bdc/master/w_1024,c_limit/00004-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,New Classic,Ladylike","[{""category"": ""Jacket/Blazer"", ""materials"": [""Bouclé"", ""Textured Knit""], ""pattern"": ""Solid"", ""silhouette"": [""Cropped"", ""Fitted/Waisted""], ""construction"": [""Patch Pockets""], ""decoration"": [""Statement Buttons"", ""Fringe"", ""Lace Trim""]}, {""category"": ""Skirt"", ""materials"": [""Bouclé"", ""Textured Knit""], ""pattern"": ""Solid"", ""silhouette"": [""A-line""], ""construction"": [], ""decoration"": [""Fringe"", ""Lace Trim""]}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,5,"https://assets.vogue.com/photos/69af3929b134a6d2889593ec/master/w_1024,c_limit/00005-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,New Classic,Minimalism","[{""category"": ""Gown/Evening"", ""materials"": [""Chiffon""], ""pattern"": ""Solid"", ""silhouette"": [""Elongated"", ""Column""], ""construction"": [""Halter"", ""Draping"", ""Asymmetry""], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Metallic Fabric""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Metal Hardware""]}, {""category"": ""Shoes/Boots"", ""materials"": [""Metallic Fabric""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,6,"https://assets.vogue.com/photos/69af39285791083229b63a4b/master/w_1024,c_limit/00006-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Loud Luxury,Power Dressing","[{""category"": ""Jacket/Blazer"", ""materials"": [""Metallic Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted"", ""Cropped""], ""construction"": [""Statement Closure""], ""decoration"": [""Sequins"", ""Metal Hardware""]}, {""category"": ""Shirt"", ""materials"": [""Metallic Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted""], ""construction"": [""Shirt Collar"", ""Statement Closure""], ""decoration"": [""Sequins"", ""Metal Hardware""]}, {""category"": ""Skirt"", ""materials"": [""Metallic Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted""], ""construction"": [], ""decoration"": [""Sequins""]}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Metallic Fabric""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Rhinestones""]}]"
Chanel,Fall 2026 Ready-to-Wear,7,"https://assets.vogue.com/photos/69af392b907d37e2373a0a58/master/w_1024,c_limit/00007-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,New Classic,Soft Tailoring","[{""category"": ""Jacket/Blazer"", ""materials"": [""Suiting Fabric"", ""Tweed""], ""pattern"": ""Solid"", ""silhouette"": [""Relaxed"", ""Semi-Fitted""], ""construction"": [""Statement Closure"", ""Wide Shoulders""], ""decoration"": [""Statement Buttons""]}, {""category"": ""Top/Blouse"", ""materials"": [""Suiting Fabric""], ""pattern"": ""Floral"", ""silhouette"": [""Semi-Fitted""], ""construction"": [""Shirt Collar""], ""decoration"": []}, {""category"": ""Skirt"", ""materials"": [""Suiting Fabric"", ""Tweed""], ""pattern"": ""Floral"", ""silhouette"": [""A-line""], ""construction"": [], ""decoration"": []}, {""category"": ""Belt"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Statement Buttons""]}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,8,"https://assets.vogue.com/photos/69af392b998fe393f6ecb9a8/master/w_1024,c_limit/00008-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,New Femininity,Romantic","[{""category"": ""Gown/Evening"", ""materials"": [""Satin""], ""pattern"": ""Solid"", ""silhouette"": [""Elongated"", ""High Rise""], ""construction"": [""Draping"", ""Asymmetry"", ""High Neck""], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Rhinestones""]}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Bag"", ""materials"": [""Suede""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,9,"https://assets.vogue.com/photos/69af392b3b7da9884b1bdfa0/master/w_1024,c_limit/00009-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Loud Luxury,Power Dressing,New Classic","[{""category"": ""Jacket/Blazer"", ""materials"": [""Tweed"", ""Metallic Fabric""], ""pattern"": ""Stripes"", ""silhouette"": [""Oversized"", ""Shoulder Emphasis""], ""construction"": [""Wide Shoulders""], ""decoration"": [""Metal Hardware""]}, {""category"": ""Top/Blouse"", ""materials"": [""Suiting Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted""], ""construction"": [""V-Neck""], ""decoration"": []}, {""category"": ""Skirt"", ""materials"": [""Tweed"", ""Metallic Fabric""], ""pattern"": ""Stripes"", ""silhouette"": [""A-line""], ""construction"": [], ""decoration"": [""Metal Hardware""]}, {""category"": ""Shoes/Boots"", ""materials"": [""Suede""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Metallic Fabric""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,10,"https://assets.vogue.com/photos/69af392dd50058cff41e744d/master/w_1024,c_limit/00010-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,New Classic,Minimalism","[{""category"": ""Dress"", ""materials"": [""Chiffon""], ""pattern"": ""Solid"", ""silhouette"": [""Elongated"", ""Relaxed""], ""construction"": [""V-Neck"", ""Shirt Collar"", ""Wrap Closure""], ""decoration"": [""Statement Buttons""]}, {""category"": ""Skirt"", ""materials"": [""Chiffon""], ""pattern"": ""Solid"", ""silhouette"": [""A-line"", ""Elongated""], ""construction"": [""Pleats""], ""decoration"": []}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather"", ""Satin""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Bag"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
